harp2;cgl;0;0;-74325169.3451383114;0.30
harp2;cgl;1;44;-74264324.3946756572;0.36
harp2;cgl;2;87;-74234201.7097398490;0.41
harp2;cgl;3;118;-74228212.7348167449;0.47
harp2;cgl;4;155;-74219944.9961972535;0.54
harp2;cgl;5;171;-74205994.4233748019;0.63
harp2;cgl;6;187;-74203182.7181291878;0.69
harp2;cgl;7;198;-74200653.8620873690;0.76
harp2;cgl;8;203;-74200196.9711150974;0.83
harp2;cgl;9;205;-74200168.2161742002;0.89
harp2;cgl;10;206;-74200154.7618574649;0.95
harp2;cgl;11;207;-74200147.5841777921;1.01
harp2;cgl;12;208;-74200139.4736105353;1.07
harp2;cgl;13;208;-74200139.4736105353;1.13
