p0282;cgl;0;0;176867.5033491131;0.02
p0282;cgl;1;73;224357.1936736297;0.15
p0282;cgl;2;110;247126.8068616894;0.22
p0282;cgl;3;156;252011.8885532006;0.26
p0282;cgl;4;211;253282.3490853124;0.34
p0282;cgl;5;235;253509.0153976749;0.40
p0282;cgl;6;247;253587.5466458231;0.45
p0282;cgl;7;264;253614.2103453449;0.51
p0282;cgl;8;274;253638.4142642541;0.57
p0282;cgl;9;279;253706.4207425467;0.64
p0282;cgl;10;285;253724.4071473195;0.70
p0282;cgl;11;290;253726.4870805293;0.76
p0282;cgl;12;291;253731.4744845147;0.83
p0282;cgl;13;295;253732.8076267284;0.89
p0282;cgl;14;295;253732.8076267284;0.95
